Run ID,Transform Init,Transforms,Output Transform,Fold,Best Epoch,Test F1,Test Precision,Test Recall,Test Accuracy,TN,FP,FN,TP
jonegrtw,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, translate=(0.15, 0.0))], p=0.5)",None,1,13,0.0,0.0,0.0,,135,166,29,0
mp248m2y,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",None,None,1,24,0.1339712918660287,0.07777777777777778,0.4827586206896552,,135,166,15,14
d3y95gq1,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(1.0, 1.15), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,0,13,0.05,0.03225806451612903,0.1111111111111111,,113,90,24,3
ehulp385,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.85, 1.0), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,0,12,0.04444444444444444,0.027777777777777776,0.1111111111111111,,98,105,24,3
zxkugp6f,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.85, 1.15), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,0,38,0.046875,0.0297029702970297,0.1111111111111111,,105,98,24,3
r6x286ag,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomResizedCrop(size=(600, 400), scale=(0.7, 1.3), ratio=(3.0 / 2.0, 3.0 / 2.0), antialias=True)], p=0.5)",None,0,37,0.047619047619047616,0.030303030303030304,0.1111111111111111,,107,96,24,3
7ce3e8s9,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.7, 1.3))], p=0.5)",None,0,19,0.05405405405405406,0.03571428571428571,0.1111111111111111,,122,81,24,3
fkoz37gj,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.15))], p=0.5)",None,0,14,0.05714285714285715,0.038461538461538464,0.1111111111111111,,128,75,24,3
7fvvrblp,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(0.85, 1.0))], p=0.5)",None,0,16,0.04580152671755725,0.028846153846153848,0.1111111111111111,,102,101,24,3
yk0t4eod,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, scale=(1.0, 1.15))], p=0.5)",None,0,24,0.049180327868852465,0.031578947368421054,0.1111111111111111,,111,92,24,3
siqebt5m,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",T.RandomVerticalFlip(p=0.5),None,0,22,0.05714285714285715,0.038461538461538464,0.1111111111111111,,128,75,24,3
bcaenxiq,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))",T.RandomHorizontalFlip(p=0.5),None,0,14,0.06593406593406594,0.046875,0.1111111111111111,,142,61,24,3
r6hts41i,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-30, 30, -30, 30))], p=0.5)",None,0,28,0.06741573033707865,0.04838709677419355,0.1111111111111111,,144,59,24,3
dykk83j7,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, -15, 15))], p=0.5)",None,0,13,0.1176470588235294,0.125,0.1111111111111111,,182,21,24,3
1xrbv99n,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(0, 0, -15, 15))], p=0.5)",None,0,21,0.05309734513274336,0.03488372093023256,0.1111111111111111,,120,83,24,3
qw9k5zk6,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=0, shear=(-15, 15, 0, 0))], p=0.5)",None,0,32,0.05714285714285715,0.038461538461538464,0.1111111111111111,,128,75,24,3
n2pjbweg,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-5, 5))], p=0.5)",None,0,34,0.05555555555555555,0.037037037037037035,0.1111111111111111,,125,78,24,3
40wybvi8,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-45, 45))], p=0.5)",None,0,30,0.058823529411764705,0.04,0.1111111111111111,,131,72,24,3
93rzh828,"CT.TransformResize((600, 400))
CT.TransformPad((600, 400))","T.RandomApply([T.RandomAffine(degrees=(-30, 30))], p=0.5)",None,0,16,0.12,0.13043478260869565,0.1111111111111111,,183,20,24,3
